19248,4b3,A,MCJN-2,Mecklenburg Sheriff Jail North 2,Corrections,Mecklenburg Sheriff,2
19280,4b5,A,MCJN-3,Mecklenburg Sheriff Jail North 3,Corrections,Mecklenburg Sheriff,2
19312,4b7,A,MCJA-MC,Mecklenburg Sheriff Jail Annex Main Channel,Corrections,Mecklenburg Sheriff,2
19344,4b9,A,MCJA-2,Mecklenburg Sheriff Jail Annex 2,Corrections,Mecklenburg Sheriff,2
19376,4bb,A,UNION-BRIDGE,Mutual Aid with Union Co.,Interop,Mecklenburg Common/Mutual Aid,2
19600,4c9,A,REG CALL,Regional Calling,Multi-Tac,Systemwide,2
19632,4cb,A,REG PURS,Regional Pursuit,Fire-Tac,Systemwide,2
19664,4cd,A,REG OPS 1,Regional Operations 1,Multi-Tac,Systemwide,2
19696,4cf,A,REG OPS 2,Regional Operations 2,Multi-Tac,Systemwide,2
19728,4d1,A,REG OPS 3,Regional Operations 3,Multi-Tac,Systemwide,2
19760,4d3,A,MEC EVT17 PD,Mecklenburg Event 17 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
19792,4d5,A,MEC EVT18 PD,Mecklenburg Event 18 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
19824,4d7,A,MEC EVT19 PD,Mecklenburg Event 19 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
19856,4d9,A,MEC EVT20 PD,Mecklenburg Event 20 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
19888,4db,A,MEC EVT21 PD,Mecklenburg Event 21 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
19920,4dd,A,MEC EVT22 PD,Mecklenburg Event 22 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
19952,4df,A,MEC EVT23 PD,Mecklenburg Event 23 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
19984,4.00E+01,A,MEC EVT24 PD,Mecklenburg Event 24 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
20016,4.00E+03,A,MEC EVT25 PD,Mecklenburg Event 25 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
20048,4.00E+05,A,MEC EVT26 PD,Mecklenburg Event 26 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
20080,4.00E+07,A,MEC EVT27 PD,Mecklenburg Event 27 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
20112,4.00E+09,A,MEC EVT28 PD,Mecklenburg Event 28 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
20144,4eb,A,MEC EVT29 PD,Mecklenburg Event 29 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
20176,4ed,A,MEC EVT30 PD,Mecklenburg Event 30 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
20208,4ef,A,MEC EVT31 PD,Mecklenburg Event 31 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
20240,4f1,A,MEC EVT32 PD,Mecklenburg Event 32 - CMPD,Interop,Mecklenburg Common/Mutual Aid,2
20272,4f3,A,NTH LAKES,North Lakes,Interop,Mecklenburg Common/Mutual Aid,2
20304,4f5,A,STH LAKES,South Lakes,Interop,Mecklenburg Common/Mutual Aid,2
20336,4f7,A,Security Net,Security Net,Interop,Mecklenburg Common/Mutual Aid,2
20432,4fd,A,USMS-OPS-2,US Marshal Service Ops,Federal,Miscellaneous,2
20592,507,A,USMS-TAC-1,US Marshal Service TAC 1,Federal,Miscellaneous,2
20624,509,A,USMS-TAC-2,US Marshal Service TAC 2,Federal,Miscellaneous,2
20656,50b,A,USMS-HNTF-1,US Marshal Service,Federal,Miscellaneous,2
20688,50d,A,USMS-HNTF-2,US Marshal Service,Federal,Miscellaneous,2
20720,50f,A,USMS-CONF-1,US Marshal Service,Federal,Miscellaneous,2
20752,511,A,USMS-CONF-2,US Marshal Service,Federal,Miscellaneous,2
20784,513,A,USMS-CONF-3,US Marshal Service,Federal,Miscellaneous,2
24912,615,A,MCSO-DISP,Mecklenburg Sheriff Dispatch,Law Dispatch,Mecklenburg Sheriff,2
24944,617,A,MCSO-2,Mecklenburg Sheriff 2,Law Tac,Mecklenburg Sheriff,2
24976,619,A,MCSO-3,Mecklenburg Sheriff 3,Law Tac,Mecklenburg Sheriff,2
25008,61b,A,MCSO-4,Mecklenburg Sheriff 4,Law Tac,Mecklenburg Sheriff,2
25040,61d,A,MCSO-5,Mecklenburg Sheriff 5,Law Tac,Mecklenburg Sheriff,2
25072,61f,A,MCSO-6,Mecklenburg Sheriff 6,Law Tac,Mecklenburg Sheriff,2
25104,621,A,MCSO-7,Mecklenburg Sheriff 7,Law Tac,Mecklenburg Sheriff,2
25264,62b,A,BLDGINSPEC,City/County Building Inspectors,Other,Charlotte-Mecklenburg Services,2
26032,65b,A,DVIDSNPD1,Davidson Police 1,Law Tac,North Mecklenburg,2
26064,65d,A,DVIDSNPD2,Davidson Police 2,Law Tac,North Mecklenburg,2
26096,65f,A,DVIDCOLLGE,"Huntersville, Cornelius, Davidson College Dispatch 2",Law Dispatch,North Mecklenburg,2
26128,661,A,TAC 1,Police Tactical 1,Law Tac,Cornelius,2
26160,663,A,HUNTCRNDISP,"Huntersville, Cornelius, Davidson College Dispatch 1",Law Dispatch,North Mecklenburg,2
26192,665,A,CNF 1,Police Conference 1,Law Tac,Cornelius,2
26224,667,A,CORNPUBWRK,Public Works Department,Public Works,Cornelius,2
26352,66f,A,DVDSNCOL1,Davidson College Police 1,Law Tac,North Mecklenburg,2
26384,671,A,DVDSNCOL2,Davidson College Police 2,Law Tac,North Mecklenburg,2
26480,677,A,STOWNS,Mutual Aid - South Towns (Town Ch. 17),Interop,Mecklenburg Common/Mutual Aid,2
26576,67d,A,HUNTRUTIL,Utilities Department,Utilities,Huntersville,2
26608,67f,A,HUNTRPOWR,Electric Department,Utilities,Huntersville,2
26640,681,A,MEDEXAMIN,Medical Examiner,Other,Charlotte-Mecklenburg Services,2
26672,683,A,MUTAIDNRTH,Town Mutual Aid Channel North,Interop,Mecklenburg Common/Mutual Aid,2
26704,685,A,N-TOWNS,Mutual Aid - North Towns,Interop,Mecklenburg Common/Mutual Aid,2
26800,68b,A,CMS-LAW-1,CMS Police 1,Security,Charlotte-Mecklenburg Schools,2
26832,68d,A,CMS-LAW-2,CMS Police 2,Security,Charlotte-Mecklenburg Schools,2
26864,68f,A,RAD SVC A,Radio Service A,Other,Radio Shop,2
